id,title,authors,year,journal,discipline,citations2019,p_rep,arm,name
rpp.37,Orienting attention in visual working memory reduces interference from memory probes.,Tal Makovski and Rachel Sussman and Yuhong V. Jiang,2008,JEPLMC,Cognitive,116,0.142093022,refuted,orienting_attention_in_visual_working_me
rpp.39,Decision making and learning while taking sequential risks.,Timothy J. Pleskac,2008,JEPLMC,Cognitive,40,0.211299547,refuted,decision_making_and_learning_while_takin
rpp.4,Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.,Benjamin C. Storm and Elizabeth Ligon Bjork and Robert A. Bjork,2008,JEPLMC,Cognitive,39,0.920419089,refuted,accelerated_relearning_after_retrieval_i
rpp.43,The rejection of moral rebels: Resenting those who do the right thing.,Benoît Monin and Pamela J. Sawyer and Matthew J. Marquez,2008,JPSP,Social,88,0.146902278,refuted,the_rejection_of_moral_rebels_resenting_
rpp.44,Why do implicit and explicit attitude tests diverge? The role of structural fit.,B. Keith Payne and Melissa A. Burkley and Mark B. Stokes,2008,JPSP,Social,165,0.045320778,robust,why_do_implicit_and_explicit_attitude_te
rpp.46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",Christopher J. Soto and Oliver P. John and Samuel D. Gosling and Jeff Potter,2008,JPSP,Social,132,0.0,robust,the_developmental_psychometrics_of_big_f
rpp.48,Terror management and adults' attachment to their parents: The safe haven remains.,Cathy R. Cox and Jamie Arndt and Tom Pyszczynski and Jeff Greenberg and Abdolhossein Abdollahi and Sheldon Solomon,2008,JPSP,Social,74,0.468999328,refuted,terror_management_and_adults_attachment_
rpp.49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,Dolores Albarracín and Ian M. Handley and Kenji Noguchi and Kathleen C. McCulloch and Hong Li and Joshua Leeper and Rick D. Brown and Allison Earl and William P. Hart,2008,JPSP,Social,46,0.777977082,refuted,increasing_and_decreasing_motor_and_cogn
rpp.5,The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.,Chris Mitchell and Scott Nash and Geoffrey Hall,2008,JEPLMC,Cognitive,36,0.355722382,refuted,the_intermixed_blocked_effect_in_human_p
rpp.52,Affective incoherence: When affective concepts and embodied reactions clash.,David B. Centerbar and Simone Schnall and Gerald L. Clore and Erika D. Garvin,2008,JPSP,Social,35,0.321906461,refuted,affective_incoherence_when_affective_con
rpp.53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,David M. Amodio and Patricia G. Devine and Eddie Harmon-Jones,2008,JPSP,Social,136,0.513076239,refuted,individual_differences_in_the_regulation
rpp.55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.,Eddie Harmon-Jones and Cindy Harmon-Jones and Meghan Fearn and Jonathan D. Sigelman and Peter Johnson,2008,JPSP,Social,103,0.741793627,refuted,left_frontal_cortical_activation_and_spr
rpp.56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,Eric van Dijk and Gerben A. van Kleef and Wolfgang Steinel and Ilja van Beest,2008,JPSP,Social,97,0.796267394,refuted,a_social_functional_approach_to_emotions
rpp.58,Walking on eggshells: How expressing relationship insecurities perpetuates them.,Edward P. Lemay and Margaret S. Clark,2008,JPSP,Social,40,0.540253118,refuted,walking_on_eggshells_how_expressing_rela
rpp.59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.,Edward P. Lemay and Margaret S. Clark,2008,JPSP,Social,66,,refuted,how_the_head_liberates_the_heart_project
rpp.6,"A single-system account of the relationship between priming, recognition, and fluency.",Christopher J. Berry and David R. Shanks and Richard N. A. Henson,2008,JEPLMC,Cognitive,37,0.02258934,robust,a_single_system_account_of_the_relations
rpp.61,Poignancy: Mixed emotional experience in the face of meaningful endings.,Hal Ersner-Hershfield and Joseph A. Mikels and Sarah J. Sullivan and Laura L. Carstensen,2008,JPSP,Social,80,0.944257246,refuted,poignancy_mixed_emotional_experience_in_
rpp.63,1/f noise and effort on implicit measures of bias.,Joshua Correll,2008,JPSP,Social,42,0.374369532,refuted,1_f_noise_and_effort_on_implicit_measure
rpp.64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,Jens Förster and Nira Liberman and Stefanie Kuschel,2008,JPSP,Social,113,0.425841059,refuted,the_effect_of_global_versus_local_proces
rpp.65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?,Julie Juola Exline and Roy F. Baumeister and Anne L. Zell and Amy J. Kraft and Charlotte V. O. Witvliet,2008,JPSP,Social,81,0.893478732,refuted,not_so_innocent_does_seeing_one_s_own_ca
rpp.68,Why people are reluctant to tempt fate.,Jane L. Risen and Thomas Gilovich,2008,JPSP,Social,59,0.964369609,refuted,why_people_are_reluctant_to_tempt_fate
rpp.69,The nonverbal expression of pride: Evidence for cross-cultural recognition.,Jessica L. Tracy and Richard W. Robins,2008,JPSP,Social,131,1e-06,robust,the_nonverbal_expression_of_pride_eviden
rpp.7,Modeling distributions of immediate memory effects: No strategies needed?,C. Philip Beaman and Ian Neath and Aimée M. Surprenant,2008,JEPLMC,Cognitive,12,0.313795083,refuted,modeling_distributions_of_immediate_memo
rpp.71,On the relative independence of thinking biases and cognitive ability.,Keith E. Stanovich and Richard F. West,2008,JPSP,Social,291,0.331896286,refuted,on_the_relative_independence_of_thinking
rpp.72,Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.,Kevin L. Blankenship and Duane T. Wegener,2008,JPSP,Social,37,0.48458607,refuted,opening_the_mind_to_close_it_considering
rpp.73,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.,Kimberly Rios Morrison and Dale T. Miller,2008,JPSP,Social,25,0.028459737,robust,distinguishing_between_silent_and_vocal_
